Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0001897,QA31,student_qa311_4,,low,minor,always,,General,2024-03-18,,,,public,2024-03-18,[Holnyk] Ошибка локализации,new,open,
0001896,QA31,student_qa311_4,,normal,minor,have not tried,,General,2024-03-18,,,,public,2024-03-18,[Holnyk] Ошибка функциональности,new,open,
0001895,QA31,student_qa311_4,,high,minor,always,,General,2024-03-18,,,,public,2024-03-18,[Holnyk] Ошибка локализации,new,open,
0001894,QA31,student_qa311_4,,normal,minor,always,,General,2024-03-18,,,,public,2024-03-18,[Holnyk] Ошибка локализации,new,open,
0001893,QA31,student_qa311_4,,low,minor,always,,General,2024-03-18,,,,public,2024-03-18,[Holnyk] Ошибка локализации,new,open,
0001892,QA31,student_qa311_4,,normal,minor,always,,General,2024-03-18,,,,public,2024-03-18,[Holnyk] Ошибка локализации,new,open,
